,from_tag,to_tag,pr_number
150,5.1.2,5.2,123
151,5.1.2,5.2,131
152,5.1.2,5.2,149
153,5.1.2,5.2,134
154,5.1.2,5.2,138
155,5.1.2,5.2,135
156,5.1.2,5.2,133
157,5.1.2,5.2,310
158,5.1.2,5.2,318
159,5.1.2,5.2,350
160,5.1.2,5.2,340
161,5.1.2,5.2,330
162,5.1.2,5.2,331
163,5.1.2,5.2,346
164,5.1.2,5.2,327
165,5.1.2,5.2,338
166,5.1.2,5.2,348
167,5.1.2,5.2,325
168,5.1.2,5.2,339
169,5.1.2,5.2,341
170,5.1.2,5.2,301
171,5.1.2,5.2,329
172,5.1.2,5.2,333
173,5.1.2,5.2,307
174,5.1.2,5.2,323
175,5.1.2,5.2,306
176,5.1.2,5.2,322
177,5.1.2,5.2,345
178,5.1.2,5.2,349
179,5.1.2,5.2,315
180,5.1.2,5.2,304
181,5.1.2,5.2,344
182,5.1.2,5.2,309
183,5.1.2,5.2,312
184,5.1.2,5.2,324
185,5.1.2,5.2,335
186,5.1.2,5.2,343
187,5.1.2,5.2,305
188,5.1.2,5.2,527
189,5.1.2,5.2,541
190,5.1.2,5.2,520
191,5.1.2,5.2,534
192,5.1.2,5.2,513
193,5.1.2,5.2,511
194,5.1.2,5.2,514
195,5.1.2,5.2,521
196,5.1.2,5.2,535
197,5.1.2,5.2,542
198,5.1.2,5.2,506
199,5.1.2,5.2,515
200,5.1.2,5.2,529
201,5.1.2,5.2,522
202,5.1.2,5.2,550
203,5.1.2,5.2,501
204,5.1.2,5.2,517
205,5.1.2,5.2,531
206,5.1.2,5.2,509
207,5.1.2,5.2,538
208,5.1.2,5.2,504
209,5.1.2,5.2,525
210,5.1.2,5.2,539
211,5.1.2,5.2,512
212,5.1.2,5.2,510
213,5.1.2,5.2,519
214,5.1.2,5.2,533
215,5.1.2,5.2,507
216,5.1.2,5.2,240
217,5.1.2,5.2,212
218,5.1.2,5.2,218
219,5.1.2,5.2,234
220,5.1.2,5.2,232
221,5.1.2,5.2,238
222,5.1.2,5.2,250
223,5.1.2,5.2,243
224,5.1.2,5.2,242
225,5.1.2,5.2,216
226,5.1.2,5.2,248
227,5.1.2,5.2,245
228,5.1.2,5.2,229
229,5.1.2,5.2,230
230,5.1.2,5.2,244
231,5.1.2,5.2,219
232,5.1.2,5.2,203
233,5.1.2,5.2,207
234,5.1.2,5.2,235
235,5.1.2,5.2,247
236,5.1.2,5.2,221
237,5.1.2,5.2,237
238,5.1.2,5.2,249
239,5.1.2,5.2,228
240,5.1.2,5.2,246
241,5.1.2,5.2,239
242,5.1.2,5.2,233
243,5.1.2,5.2,236
244,5.1.2,5.2,430
245,5.1.2,5.2,441
246,5.1.2,5.2,411
247,5.1.2,5.2,421
248,5.1.2,5.2,404
249,5.1.2,5.2,402
250,5.1.2,5.2,424
251,5.1.2,5.2,437
252,5.1.2,5.2,440
253,5.1.2,5.2,408
254,5.1.2,5.2,422
255,5.1.2,5.2,429
256,5.1.2,5.2,436
257,5.1.2,5.2,416
258,5.1.2,5.2,438
259,5.1.2,5.2,434
260,5.1.2,5.2,427
261,5.1.2,5.2,415
262,5.1.2,5.2,414
263,5.1.2,5.2,445
264,5.1.2,5.2,420
265,5.1.2,5.2,423
266,5.1.2,5.2,406
267,5.1.2,5.2,407
268,5.1.2,5.2,450
269,5.1.2,5.2,603
270,5.1.2,5.2,608
271,5.1.2,5.2,601
272,5.1.2,5.2,475
273,5.1.2,5.2,479
274,5.1.2,5.2,499
275,5.1.2,5.2,462
276,5.1.2,5.2,496
277,5.1.2,5.2,464
278,5.1.2,5.2,460
279,5.1.2,5.2,491
280,5.1.2,5.2,495
281,5.1.2,5.2,459
282,5.1.2,5.2,477
283,5.1.2,5.2,454
284,5.1.2,5.2,487
285,5.1.2,5.2,456
286,5.1.2,5.2,476
287,5.1.2,5.2,492
288,5.1.2,5.2,468
289,5.1.2,5.2,497
290,5.1.2,5.2,483
291,5.1.2,5.2,480
292,5.1.2,5.2,486
293,5.1.2,5.2,469
294,5.1.2,5.2,481
295,5.1.2,5.2,465
296,5.1.2,5.2,493
297,5.1.2,5.2,451
298,5.1.2,5.2,484
299,5.1.2,5.2,457
300,5.1.2,5.2,482
301,5.1.2,5.2,275
302,5.1.2,5.2,256
303,5.1.2,5.2,251
304,5.1.2,5.2,254
305,5.1.2,5.2,287
306,5.1.2,5.2,292
307,5.1.2,5.2,288
308,5.1.2,5.2,268
309,5.1.2,5.2,253
310,5.1.2,5.2,264
311,5.1.2,5.2,299
312,5.1.2,5.2,276
313,5.1.2,5.2,272
314,5.1.2,5.2,255
315,5.1.2,5.2,280
316,5.1.2,5.2,294
317,5.1.2,5.2,279
318,5.1.2,5.2,267
319,5.1.2,5.2,261
320,5.1.2,5.2,286
321,5.1.2,5.2,266
322,5.1.2,5.2,258
323,5.1.2,5.2,293
324,5.1.2,5.2,263
325,5.1.2,5.2,269
326,5.1.2,5.2,290
327,5.1.2,5.2,289
328,5.1.2,5.2,278
329,5.1.2,5.2,259
330,5.1.2,5.2,260
331,5.1.2,5.2,298
332,5.1.2,5.2,262
333,5.1.2,5.2,396
334,5.1.2,5.2,358
335,5.1.2,5.2,393
336,5.1.2,5.2,399
337,5.1.2,5.2,382
338,5.1.2,5.2,369
339,5.1.2,5.2,376
340,5.1.2,5.2,390
341,5.1.2,5.2,363
342,5.1.2,5.2,384
343,5.1.2,5.2,368
344,5.1.2,5.2,385
345,5.1.2,5.2,378
346,5.1.2,5.2,375
347,5.1.2,5.2,395
348,5.1.2,5.2,372
349,5.1.2,5.2,380
350,5.1.2,5.2,383
351,5.1.2,5.2,366
352,5.1.2,5.2,373
353,5.1.2,5.2,388
354,5.1.2,5.2,354
355,5.1.2,5.2,391
356,5.1.2,5.2,381
357,5.1.2,5.2,389
358,5.1.2,5.2,398
359,5.1.2,5.2,397
360,5.1.2,5.2,377
361,5.1.2,5.2,353
362,5.1.2,5.2,394
363,5.1.2,5.2,360
364,5.1.2,5.2,362
365,5.1.2,5.2,361
366,5.1.2,5.2,364
367,5.1.2,5.2,359
368,5.1.2,5.2,356
369,5.1.2,5.2,561
370,5.1.2,5.2,600
371,5.1.2,5.2,564
372,5.1.2,5.2,598
373,5.1.2,5.2,568
374,5.1.2,5.2,562
375,5.1.2,5.2,595
376,5.1.2,5.2,566
377,5.1.2,5.2,578
378,5.1.2,5.2,591
379,5.1.2,5.2,553
380,5.1.2,5.2,563
381,5.1.2,5.2,570
382,5.1.2,5.2,588
383,5.1.2,5.2,590
384,5.1.2,5.2,573
385,5.1.2,5.2,589
386,5.1.2,5.2,558
387,5.1.2,5.2,582
388,5.1.2,5.2,599
389,5.1.2,5.2,571
390,5.1.2,5.2,587
391,5.1.2,5.2,597
392,5.1.2,5.2,552
393,5.1.2,5.2,554
394,5.1.2,5.2,577
395,5.1.2,5.2,574
396,5.1.2,5.2,593
397,5.1.2,5.2,569
398,5.1.2,5.2,167
399,5.1.2,5.2,178
400,5.1.2,5.2,197
401,5.1.2,5.2,172
402,5.1.2,5.2,166
403,5.1.2,5.2,164
404,5.1.2,5.2,182
405,5.1.2,5.2,165
406,5.1.2,5.2,194
407,5.1.2,5.2,186
408,5.1.2,5.2,200
409,5.1.2,5.2,191
410,5.1.2,5.2,169
411,5.1.2,5.2,162
412,5.1.2,5.2,195
413,5.1.2,5.2,151
414,5.1.2,5.2,174
415,5.1.2,5.2,198
416,5.1.2,5.2,159
417,5.1.2,5.2,160
418,5.1.2,5.2,150
419,5.1.2,5.2,144
420,5.1.2,5.2,142
421,5.1.2,5.2,147
422,5.1.2,5.2,145
423,5.1.2,5.2,123
424,5.1.2,5.2,131
425,5.1.2,5.2,149
426,5.1.2,5.2,134
427,5.1.2,5.2,138
428,5.1.2,5.2,135
429,5.1.2,5.2,133
430,5.1.2,5.2,310
431,5.1.2,5.2,318
432,5.1.2,5.2,350
433,5.1.2,5.2,340
434,5.1.2,5.2,330
435,5.1.2,5.2,331
436,5.1.2,5.2,346
437,5.1.2,5.2,327
438,5.1.2,5.2,338
439,5.1.2,5.2,348
440,5.1.2,5.2,325
441,5.1.2,5.2,339
442,5.1.2,5.2,341
443,5.1.2,5.2,301
444,5.1.2,5.2,308
445,5.1.2,5.2,329
446,5.1.2,5.2,333
447,5.1.2,5.2,307
448,5.1.2,5.2,323
449,5.1.2,5.2,306
450,5.1.2,5.2,322
451,5.1.2,5.2,345
452,5.1.2,5.2,349
453,5.1.2,5.2,315
454,5.1.2,5.2,304
455,5.1.2,5.2,344
456,5.1.2,5.2,309
457,5.1.2,5.2,312
458,5.1.2,5.2,324
459,5.1.2,5.2,335
460,5.1.2,5.2,343
461,5.1.2,5.2,305
462,5.1.2,5.2,527
463,5.1.2,5.2,541
464,5.1.2,5.2,520
465,5.1.2,5.2,534
466,5.1.2,5.2,513
467,5.1.2,5.2,511
468,5.1.2,5.2,514
469,5.1.2,5.2,521
470,5.1.2,5.2,535
471,5.1.2,5.2,542
472,5.1.2,5.2,506
473,5.1.2,5.2,515
474,5.1.2,5.2,529
475,5.1.2,5.2,522
476,5.1.2,5.2,550
477,5.1.2,5.2,501
478,5.1.2,5.2,517
479,5.1.2,5.2,531
480,5.1.2,5.2,509
481,5.1.2,5.2,538
482,5.1.2,5.2,504
483,5.1.2,5.2,525
484,5.1.2,5.2,539
485,5.1.2,5.2,512
486,5.1.2,5.2,510
487,5.1.2,5.2,519
488,5.1.2,5.2,533
489,5.1.2,5.2,507
490,5.1.2,5.2,240
491,5.1.2,5.2,212
492,5.1.2,5.2,218
493,5.1.2,5.2,234
494,5.1.2,5.2,232
495,5.1.2,5.2,238
496,5.1.2,5.2,250
497,5.1.2,5.2,243
498,5.1.2,5.2,242
499,5.1.2,5.2,216
500,5.1.2,5.2,248
501,5.1.2,5.2,245
502,5.1.2,5.2,229
503,5.1.2,5.2,230
504,5.1.2,5.2,244
505,5.1.2,5.2,219
506,5.1.2,5.2,203
507,5.1.2,5.2,207
508,5.1.2,5.2,235
509,5.1.2,5.2,247
510,5.1.2,5.2,221
511,5.1.2,5.2,237
512,5.1.2,5.2,249
513,5.1.2,5.2,228
514,5.1.2,5.2,246
515,5.1.2,5.2,239
516,5.1.2,5.2,233
517,5.1.2,5.2,236
518,5.1.2,5.2,201
519,5.1.2,5.2,430
520,5.1.2,5.2,441
521,5.1.2,5.2,411
522,5.1.2,5.2,421
523,5.1.2,5.2,433
524,5.1.2,5.2,404
525,5.1.2,5.2,402
526,5.1.2,5.2,424
527,5.1.2,5.2,437
528,5.1.2,5.2,440
529,5.1.2,5.2,408
530,5.1.2,5.2,422
531,5.1.2,5.2,429
532,5.1.2,5.2,436
533,5.1.2,5.2,416
534,5.1.2,5.2,438
535,5.1.2,5.2,434
536,5.1.2,5.2,427
537,5.1.2,5.2,415
538,5.1.2,5.2,414
539,5.1.2,5.2,445
540,5.1.2,5.2,420
541,5.1.2,5.2,423
542,5.1.2,5.2,406
543,5.1.2,5.2,407
544,5.1.2,5.2,450
545,5.1.2,5.2,603
546,5.1.2,5.2,608
547,5.1.2,5.2,607
548,5.1.2,5.2,601
549,5.1.2,5.2,475
550,5.1.2,5.2,479
551,5.1.2,5.2,499
552,5.1.2,5.2,462
553,5.1.2,5.2,496
554,5.1.2,5.2,464
555,5.1.2,5.2,460
556,5.1.2,5.2,491
557,5.1.2,5.2,495
558,5.1.2,5.2,459
559,5.1.2,5.2,477
560,5.1.2,5.2,454
561,5.1.2,5.2,487
562,5.1.2,5.2,456
563,5.1.2,5.2,476
564,5.1.2,5.2,492
565,5.1.2,5.2,468
566,5.1.2,5.2,497
567,5.1.2,5.2,483
568,5.1.2,5.2,480
569,5.1.2,5.2,486
570,5.1.2,5.2,469
571,5.1.2,5.2,481
572,5.1.2,5.2,465
573,5.1.2,5.2,493
574,5.1.2,5.2,451
575,5.1.2,5.2,484
576,5.1.2,5.2,457
577,5.1.2,5.2,482
578,5.1.2,5.2,275
579,5.1.2,5.2,256
580,5.1.2,5.2,251
581,5.1.2,5.2,254
582,5.1.2,5.2,287
583,5.1.2,5.2,292
584,5.1.2,5.2,288
585,5.1.2,5.2,268
586,5.1.2,5.2,253
587,5.1.2,5.2,264
588,5.1.2,5.2,299
589,5.1.2,5.2,276
590,5.1.2,5.2,272
591,5.1.2,5.2,255
592,5.1.2,5.2,280
593,5.1.2,5.2,294
594,5.1.2,5.2,279
595,5.1.2,5.2,267
596,5.1.2,5.2,261
597,5.1.2,5.2,286
598,5.1.2,5.2,266
599,5.1.2,5.2,258
600,5.1.2,5.2,293
601,5.1.2,5.2,263
602,5.1.2,5.2,269
603,5.1.2,5.2,290
604,5.1.2,5.2,289
605,5.1.2,5.2,278
606,5.1.2,5.2,259
607,5.1.2,5.2,260
608,5.1.2,5.2,298
609,5.1.2,5.2,262
610,5.1.2,5.2,396
611,5.1.2,5.2,358
612,5.1.2,5.2,393
613,5.1.2,5.2,399
614,5.1.2,5.2,382
615,5.1.2,5.2,369
616,5.1.2,5.2,376
617,5.1.2,5.2,390
618,5.1.2,5.2,363
619,5.1.2,5.2,384
620,5.1.2,5.2,368
621,5.1.2,5.2,385
622,5.1.2,5.2,378
623,5.1.2,5.2,375
624,5.1.2,5.2,395
625,5.1.2,5.2,372
626,5.1.2,5.2,380
627,5.1.2,5.2,383
628,5.1.2,5.2,366
629,5.1.2,5.2,373
630,5.1.2,5.2,388
631,5.1.2,5.2,354
632,5.1.2,5.2,391
633,5.1.2,5.2,381
634,5.1.2,5.2,389
635,5.1.2,5.2,398
636,5.1.2,5.2,397
637,5.1.2,5.2,377
638,5.1.2,5.2,353
639,5.1.2,5.2,394
640,5.1.2,5.2,360
641,5.1.2,5.2,362
642,5.1.2,5.2,361
643,5.1.2,5.2,364
644,5.1.2,5.2,359
645,5.1.2,5.2,356
646,5.1.2,5.2,561
647,5.1.2,5.2,600
648,5.1.2,5.2,564
649,5.1.2,5.2,598
650,5.1.2,5.2,568
651,5.1.2,5.2,562
652,5.1.2,5.2,595
653,5.1.2,5.2,566
654,5.1.2,5.2,578
655,5.1.2,5.2,591
656,5.1.2,5.2,553
657,5.1.2,5.2,563
658,5.1.2,5.2,570
659,5.1.2,5.2,588
660,5.1.2,5.2,590
661,5.1.2,5.2,573
662,5.1.2,5.2,589
663,5.1.2,5.2,558
664,5.1.2,5.2,582
665,5.1.2,5.2,599
666,5.1.2,5.2,571
667,5.1.2,5.2,587
668,5.1.2,5.2,597
669,5.1.2,5.2,552
670,5.1.2,5.2,554
671,5.1.2,5.2,577
672,5.1.2,5.2,574
673,5.1.2,5.2,593
674,5.1.2,5.2,569
675,5.1.2,5.2,167
676,5.1.2,5.2,178
677,5.1.2,5.2,197
678,5.1.2,5.2,172
679,5.1.2,5.2,166
680,5.1.2,5.2,164
681,5.1.2,5.2,182
682,5.1.2,5.2,165
683,5.1.2,5.2,194
684,5.1.2,5.2,186
685,5.1.2,5.2,200
686,5.1.2,5.2,191
687,5.1.2,5.2,169
688,5.1.2,5.2,162
689,5.1.2,5.2,195
690,5.1.2,5.2,151
691,5.1.2,5.2,174
692,5.1.2,5.2,198
693,5.1.2,5.2,159
694,5.1.2,5.2,160
695,5.1.2,5.2,150
696,5.1.2,5.2,144
697,5.1.2,5.2,142
698,5.1.2,5.2,147
699,5.1.2,5.2,145
700,5.1.2,5.2,123
701,5.1.2,5.2,131
702,5.1.2,5.2,149
703,5.1.2,5.2,134
704,5.1.2,5.2,138
705,5.1.2,5.2,135
706,5.1.2,5.2,133
707,5.1.2,5.2,310
708,5.1.2,5.2,318
709,5.1.2,5.2,350
710,5.1.2,5.2,340
711,5.1.2,5.2,330
712,5.1.2,5.2,331
713,5.1.2,5.2,346
714,5.1.2,5.2,327
715,5.1.2,5.2,338
716,5.1.2,5.2,348
717,5.1.2,5.2,325
718,5.1.2,5.2,339
719,5.1.2,5.2,341
720,5.1.2,5.2,301
721,5.1.2,5.2,308
722,5.1.2,5.2,329
723,5.1.2,5.2,333
724,5.1.2,5.2,307
725,5.1.2,5.2,323
726,5.1.2,5.2,306
727,5.1.2,5.2,322
728,5.1.2,5.2,345
729,5.1.2,5.2,349
730,5.1.2,5.2,315
731,5.1.2,5.2,304
732,5.1.2,5.2,344
733,5.1.2,5.2,309
734,5.1.2,5.2,312
735,5.1.2,5.2,324
736,5.1.2,5.2,335
737,5.1.2,5.2,343
738,5.1.2,5.2,305
739,5.1.2,5.2,527
740,5.1.2,5.2,541
741,5.1.2,5.2,520
742,5.1.2,5.2,534
743,5.1.2,5.2,513
744,5.1.2,5.2,511
745,5.1.2,5.2,514
746,5.1.2,5.2,521
747,5.1.2,5.2,535
748,5.1.2,5.2,542
749,5.1.2,5.2,506
750,5.1.2,5.2,515
751,5.1.2,5.2,529
752,5.1.2,5.2,522
753,5.1.2,5.2,550
754,5.1.2,5.2,501
755,5.1.2,5.2,517
756,5.1.2,5.2,531
757,5.1.2,5.2,509
758,5.1.2,5.2,538
759,5.1.2,5.2,504
760,5.1.2,5.2,525
761,5.1.2,5.2,539
762,5.1.2,5.2,512
763,5.1.2,5.2,510
764,5.1.2,5.2,519
765,5.1.2,5.2,533
766,5.1.2,5.2,507
767,5.1.2,5.2,240
768,5.1.2,5.2,212
769,5.1.2,5.2,218
770,5.1.2,5.2,234
771,5.1.2,5.2,232
772,5.1.2,5.2,238
773,5.1.2,5.2,250
774,5.1.2,5.2,243
775,5.1.2,5.2,242
776,5.1.2,5.2,216
777,5.1.2,5.2,248
778,5.1.2,5.2,245
779,5.1.2,5.2,229
780,5.1.2,5.2,230
781,5.1.2,5.2,244
782,5.1.2,5.2,219
783,5.1.2,5.2,203
784,5.1.2,5.2,207
785,5.1.2,5.2,235
786,5.1.2,5.2,247
787,5.1.2,5.2,221
788,5.1.2,5.2,237
789,5.1.2,5.2,249
790,5.1.2,5.2,228
791,5.1.2,5.2,246
792,5.1.2,5.2,239
793,5.1.2,5.2,233
794,5.1.2,5.2,236
795,5.1.2,5.2,201
796,5.1.2,5.2,430
797,5.1.2,5.2,441
798,5.1.2,5.2,411
799,5.1.2,5.2,421
800,5.1.2,5.2,433
801,5.1.2,5.2,404
802,5.1.2,5.2,402
803,5.1.2,5.2,424
804,5.1.2,5.2,437
805,5.1.2,5.2,440
806,5.1.2,5.2,408
807,5.1.2,5.2,422
808,5.1.2,5.2,429
809,5.1.2,5.2,436
810,5.1.2,5.2,416
811,5.1.2,5.2,438
812,5.1.2,5.2,434
813,5.1.2,5.2,427
814,5.1.2,5.2,415
815,5.1.2,5.2,414
816,5.1.2,5.2,445
817,5.1.2,5.2,420
818,5.1.2,5.2,423
819,5.1.2,5.2,406
820,5.1.2,5.2,407
821,5.1.2,5.2,450
822,5.1.2,5.2,603
823,5.1.2,5.2,608
824,5.1.2,5.2,607
825,5.1.2,5.2,601
826,5.2,5.3,682
827,5.2,5.3,657
828,5.2,5.3,674
829,5.2,5.3,681
830,5.2,5.3,665
831,5.2,5.3,659
832,5.2,5.3,667
833,5.2,5.3,673
834,5.2,5.3,680
835,5.2,5.3,664
836,5.2,5.3,656
837,5.2,5.3,660
838,5.2,5.3,672
839,5.2,5.3,684
840,5.2,5.3,679
841,5.2,5.3,654
842,5.2,5.3,671
843,5.2,5.3,677
844,5.2,5.3,663
845,5.2,5.3,696
846,5.2,5.3,688
847,5.2,5.3,655
848,5.2,5.3,687
849,5.2,5.3,670
850,5.2,5.3,666
851,5.2,5.3,652
852,5.2,5.3,678
853,5.2,5.3,651
854,5.2,5.3,695
855,5.2,5.3,662
856,5.2,5.3,669
857,5.2,5.3,661
858,5.2,5.3,668
859,5.2,5.3,594
860,5.2,5.3,706
861,5.2,5.3,704
862,5.2,5.3,616
863,5.2,5.3,637
864,5.2,5.3,646
865,5.2,5.3,618
866,5.2,5.3,609
867,5.2,5.3,628
868,5.2,5.3,605
869,5.2,5.3,650
870,5.2,5.3,614
871,5.2,5.3,643
872,5.2,5.3,606
873,5.2,5.3,638
874,5.2,5.3,623
875,5.2,5.3,604
876,5.2,5.3,625
877,5.2,5.3,613
878,5.2,5.3,626
879,5.2,5.3,612
880,5.2,5.3,621
881,5.2,5.3,647
882,5.2,5.3,636
883,5.2,5.3,641
884,5.2,5.3,622
885,5.2,5.3,619
886,5.2,5.3,611
887,5.2,5.3,617
888,5.2,5.3,634
889,5.2,5.3,640
890,5.2,5.3,610
891,5.2,5.3,620
892,5.2,5.3,639
893,5.2,5.3,682
894,5.2,5.3,657
895,5.2,5.3,674
896,5.2,5.3,681
897,5.2,5.3,665
898,5.2,5.3,659
899,5.2,5.3,667
900,5.2,5.3,673
901,5.2,5.3,680
902,5.2,5.3,664
903,5.2,5.3,656
904,5.2,5.3,660
905,5.2,5.3,672
906,5.2,5.3,684
907,5.2,5.3,679
908,5.2,5.3,654
909,5.2,5.3,671
910,5.2,5.3,677
911,5.2,5.3,663
912,5.2,5.3,696
913,5.2,5.3,688
914,5.2,5.3,655
915,5.2,5.3,687
916,5.2,5.3,670
917,5.2,5.3,666
918,5.2,5.3,652
919,5.2,5.3,678
920,5.2,5.3,651
921,5.2,5.3,695
922,5.2,5.3,662
923,5.2,5.3,669
924,5.2,5.3,694
925,5.2,5.3,661
926,5.2,5.3,668
927,5.2,5.3,594
928,5.2,5.3,706
929,5.2,5.3,704
930,5.2,5.3,445
931,5.2,5.3,616
932,5.2,5.3,637
933,5.2,5.3,646
934,5.2,5.3,618
935,5.2,5.3,609
936,5.2,5.3,628
937,5.2,5.3,605
938,5.2,5.3,650
939,5.2,5.3,614
940,5.2,5.3,643
941,5.2,5.3,606
942,5.2,5.3,638
943,5.2,5.3,623
944,5.2,5.3,604
945,5.2,5.3,625
946,5.2,5.3,613
947,5.2,5.3,626
948,5.2,5.3,612
949,5.2,5.3,621
950,5.2,5.3,647
951,5.2,5.3,636
952,5.2,5.3,641
953,5.2,5.3,622
954,5.2,5.3,619
955,5.2,5.3,611
956,5.2,5.3,617
957,5.2,5.3,634
958,5.2,5.3,640
959,5.2,5.3,610
960,5.2,5.3,620
961,5.2,5.3,639
962,5.2,5.3,682
963,5.2,5.3,657
964,5.2,5.3,674
965,5.2,5.3,681
966,5.2,5.3,665
967,5.2,5.3,659
968,5.2,5.3,667
969,5.2,5.3,673
970,5.2,5.3,680
971,5.2,5.3,664
972,5.2,5.3,656
973,5.2,5.3,660
974,5.2,5.3,672
975,5.2,5.3,684
976,5.2,5.3,679
977,5.2,5.3,654
978,5.2,5.3,671
979,5.2,5.3,677
980,5.2,5.3,663
981,5.2,5.3,696
982,5.2,5.3,688
983,5.2,5.3,655
984,5.2,5.3,687
985,5.2,5.3,670
986,5.2,5.3,666
987,5.2,5.3,652
988,5.2,5.3,678
989,5.2,5.3,651
990,5.2,5.3,695
991,5.2,5.3,662
992,5.2,5.3,669
993,5.2,5.3,694
994,5.2,5.3,661
995,5.2,5.3,668
996,5.2,5.3,594
997,5.2,5.3,706
998,5.2,5.3,704
999,5.2,5.3,445
1000,5.2,5.3,616
1001,5.2,5.3,637
1002,5.2,5.3,646
1003,5.2,5.3,618
1004,5.2,5.3,609
1005,5.2,5.3,628
1006,5.2,5.3,605
1007,5.2,5.3,650
1008,5.2,5.3,614
1009,5.2,5.3,643
1010,5.2,5.3,606
1011,5.2,5.3,638
1012,5.2,5.3,623
1013,5.2,5.3,604
1014,5.2,5.3,625
1015,5.2,5.3,613
1016,5.2,5.3,626
1017,5.2,5.3,612
1018,5.2,5.3,621
1019,5.2,5.3,647
1020,5.2,5.3,636
1021,5.2,5.3,641
1022,5.2,5.3,622
